Theme,Opportunity Space,Year Founded,Maturity,Website,Business Description,Funding Stage,Total funding (US$),Region,Country,Company Name
Managing Safety Risks,Crew Safety,2014,Existing,https://wearkinetic.com/,Wearable for workforce tracking,Series A,5960000,North America,United States,Kinetic
Managing Safety Risks,Crew Safety,2012,Existing,https://strongarmtech.com,Provider of exoskeleton for industrial workers,Series B,2920000,North America,United States,StrongArm Technologies
Agile and adaptive logistic network,Additive Manufacturing,2018,Emerging,https://spectroplast.com,Provider of 3D printing services,Seed,1545880,Europe,Switzerland,Spectroplast
Agile and adaptive logistic network,Additive Manufacturing,2014,Emerging,https://mx3d.com,3D printing robots for industrial uses,Funded,0,Europe,Netherlands,MX3D
Supply Chain Visibility,Supply chain risk monitoring & mitigation,2019,Distant,https://gotrustlink.com,Provider of cloud and IoT-based cold chain monitoring solutions,Unfunded,0,North America,United States,TrustLink
Supply Chain Visibility,Supply chain risk monitoring & mitigation,2016,Existing,https://packid.com.br,Provider of IoT based monitoring solutions,Seed,303094,Latin America and the Caribbean,Brazil,PackID
Supply Chain Visibility,Supply chain risk monitoring & mitigation,2014,Emerging,https://30mhz.com/,Provider of sensor-based diversified farm management solutions,Series A,4478180,Europe,Netherlands,30MHz
Supply Chain Visibility,Supply chain risk monitoring & mitigation,2012,Existing,https://contguard.com/,Cargo and shipment monitoring company,Series A,0,MENA,Israel,Contguard
Supply Chain Visibility,Supply chain risk monitoring & mitigation,2012,Emerging,https://tag-sensors.com,Develops temperature sensing solutions for food industry,Series A,2205450,Europe,Norway,Tag Sensors
Autonomous Supply Chains,Automated Movement of Goods,2012,Emerging,https://whalehouse.com,Developer of robotic solutions for warehouse automation,Series B,36610729,Asia & the Pacific,China,Whale warehouse
Autonomous Supply Chains,Automated Movement of Goods,2012,Emerging,https://smartlogisticsolutions.com,Provider of mobile robots for multi-industrial applications,Series B,0,Asia & the Pacific,China,Zhejiang Guozi Robotics
Managing Safety Risks,Inspection robotics alt,2015,Existing,https://sarcos.com/,Developers of dexterous robotic systems for use in unstructured environments,Series C,85723503,North America,United States,Sarcos
Autonomous Supply Chains,Automated Movement of Goods,2015,Existing,https://geekplus.com,Warehouse automation robots,Series C,432191820,Asia & the Pacific,China,Geek+
Managing Safety Risks,Inspection robotics alt,2015,Existing,https://boyagongdao.com/,Provider of underwater robot,Series B,14473359,Asia & the Pacific,China,Boya Gongdao
Autonomous Supply Chains,Inspection robotics,2013,Existing,https://geckorobotics.com/,Develops a wall climbing robot for inspections,Series B,56246888,North America,United States,Gecko Robotics
Autonomous Supply Chains,Automated Movement of Goods,2017,Existing,https://outrider.ai,Developer of cloud-based automation solutions for yard operations management,Series B,62248113,North America,United States,Outrider
Autonomous Supply Chains,Automated Movement of Goods,2015,Existing,https://copalhandlingsystems.com/,Provider of warehouse automation solutions,Unfunded,0,Europe,Netherlands,Copal
Autonomous Supply Chains,Automated Movement of Goods,2018,Emerging,https://syriusrobotics.com,Warehouse autonomous mobile robots (AMR) developer,Series A,10000000,Asia & the Pacific,China,Syrius Torch Star
Autonomous Supply Chains,Inspection robotics,2010,Emerging,https://invertrobotics.com/,Robotic remote inspection technology,Series A,22732807,Europe,United Kingdom,Invert Robotics
Agile and adaptive logistic network,Additive Manufacturing,2013,Existing,https://3dhubs.com,3D print matching service provider,Series C,30000000,Europe,Netherlands,3D Hubs
Agile and adaptive logistic network,Additive Manufacturing,2016,Existing,https://3dfortify.com,Process to manufacture reinforced carbon fiber composites,Series A,12500000,North America,United States,Fortify
Supply Chain Visibility,Real-time tracking of goods,2012,Existing,https://zillionsource.com,Integrated solutions for real-time cargo monitoring,Funded,0,Asia & the Pacific,China,ZillionSource
Supply Chain Visibility,Real-time tracking of goods,2010,Emerging,https://myascents.com,Electronic security solutions for cargo tracking,Series A,0,Asia & the Pacific,Singapore,Ascent Solutions
Supply Chain Visibility,E2E SC transparency,2018,Emerging,https://dimuto.io,Provider of blockchain and AI-based trade management and product tracking solutions,Seed,0,Asia & the Pacific,Singapore,Dimuto
Managing Safety Risks,Asset Monitoring,2015,Distant,https://octaleus.com,Provider of IoT based asset tracking solutions,Unfunded,0,North America,United States,Octaleus
AI Enabled Prediction,Retail Demand Sensing,2018,Emerging,https://oilx.co/,Provider of solutions for oil data analytics,Seed,2200000,Europe,United Kingdom,OilX
Supply Chain Visibility,Supply chain risk monitoring & mitigation,2016,Existing,https://we4sea.com/,SaaS-based fuel monitoring solutions for marine industry,Seed,426688,Europe,Netherlands,We4Sea
Supply Chain Visibility,Supply chain risk monitoring & mitigation,2006,Existing,https://fueltrax.com/,Marine fuel management systems,Funded,0,North America,United States,Nautical Control Solutions
Supply Chain Visibility,Supply chain risk monitoring & mitigation,2004,Existing,https://krillsystems.com,Fuel monitoring and performance management solution for the marine industry,Unfunded,0,North America,United States,Krill Systems
Supply Chain Visibility,Supply chain risk monitoring & mitigation,2015,Emerging,https://tressolutions.com/,Marina fuel management platform,Unfunded,0,North America,United States,Tres Solutions
Supply Chain Visibility,Supply chain risk monitoring & mitigation,2009,Existing,https://towercoldchain.com,Temperature controlled shipping containers and logger,Series A,4151280,Europe,United Kingdom,TOWER Cold Chain Solutions
Supply Chain Visibility,Supply chain risk monitoring & mitigation,2013,Existing,https://telesense.com,Environment monitoring and control solutions for industries,Series A,7000000,North America,United States,TeleSense
Supply Chain Visibility,Supply chain risk monitoring & mitigation,2009,Emerging,https://onasset.com,Monitoring and tracking platform for supply chain,Series A,6000000,North America,United States,OnAsset
Supply Chain Visibility,Supply chain risk monitoring & mitigation,2010,Existing,https://freightfarms.com,Smart shipping containers to grow food anywhere,Series B,27993628,North America,United States,Freight Farms
Autonomous Supply Chains,Automated Movement of Goods,2015,Emerging,https://exotec.com,Provider of industrial robots,Series B,21200000,Europe,France,Exotec
Autonomous Supply Chains,Automated Movement of Goods,2013,Emerging,https://softroboticsinc.com,Manufactures robotic grippers and control system,Series B,48000000,North America,United States,Soft Robotics
Autonomous Supply Chains,Automated Movement of Goods,2015,Emerging,https://getfabric.com,AI-based micro-fulfillment solutions provider,Series B,136000000,MENA,Israel,Fabric
AI Enabled Prediction,Trade Data Analytics,2017,Existing,https://portchain.com,SaaS platform for managing port operations,Unfunded,0,Europe,Denmark,portchain
AI Enabled Prediction,Trade Data Analytics,2018,Existing,https://bluecargo.io,Provider of predictive analytics for port operations,Seed,3150000,North America,United States,bluecargo
